sender,volume,transfers,avg_value
TBNeM9NCNtyK6hkPxb4XH3XY2wP7czieJr,60229.32,5,12045.864
TYQYmGBbh8pHGGYqSGJbC3VJgWAyiQ76AJ,60000.0,1,60000.0
TXQu3AftKCbXSfxjdJTHhDpKx2wsaZVdbm,60000.0,1,60000.0
TYUzq7HGyXoy7tXSDKxsCRUVKrsCYD6h2w,60000.0,1,60000.0
TLHH6Y6TBJRavB7SSiugK9LnnJPdhEoXAH,60000.0,2,30000.0
TMbN32DQtB8ZXp2JvMpaeUDWBoqhQFpyYK,60000.0,2,30000.0
TKHyPaUT6Yc6oA7owDWUuC4mFUZELRk1Lr,60000.0,2,30000.0
THzQ4B7hogbRmYZo1vBZMmMy295piCmmgq,60000.0,2,30000.0
TQjcu6XJh1XN3vkZjX4UNSYDSLfZVYJv6D,59999.0,1,59999.0
TNwGPU4kzvg4JtPpCp8Zb3Yknxk1pyHTDs,59000.0,5,11800.0
TUCBHKxeTMcSM2uyh9kNJYNCBHpnBTh7so,58729.0,1,58729.0
TAizTmhq9gej8MRgSE9Qz9fW5HiCWqDsGR,58365.0,1,58365.0
TJAKb2uA2t7QZG28BAG1ELiZB8x6m7UXdB,57877.686281,119,486.36711160504206
TVbSianZbnTmmCQoqu3EKAUToJUAMCarDc,57731.042735,2,28865.5213675
TCdrQjRxbma3LWDwxMA5MfJvJxvtUziBGJ,56978.05698,1,56978.05698
TLsMqvL9ZyHg8hBiHfVccsJSq85uC13feA,56546.17,5,11309.234
TUiMMXdyUfJ8gupcT8t7pNqagVo6Bo8gz6,55920.0,1,55920.0
TS98H6jSx6uv1gG1vx6CJZMeYGkMZXgQ7K,55510.15055100001,129,430.31124458139544
TXTZayH2K6TPN96M2BeKr3RTSgSjQgdjwx,55000.0,2,27500.0
TCQxSETdq5hTZ7iUr2yDPRWR5adUjwzAir,55000.0,1,55000.0
TZ6ERUqKDJc6tRQo4CQU3gFH4xJfGttZxR,54776.0,6,9129.333333333334
TEE4Br9CKvJZ1BaZqtxH3kPcq1nXHjYbfd,54610.0,1,54610.0
TMTSqZ1L66hVcvvLQzodTHgwcRZeuB6Ae4,54500.0,15,3633.3333333333335
TQYRBuh7i7QBCRJ1FvYUmb2jZ3zQ5qN3xb,54431.997574999994,19,2864.8419776315786
